type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-52,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4919571,0,84,0,0,5.171286,384,[84 -64 4 0 0 0 0 0 0 0 0 0 4 29 4 28 3 29 1 29 1 28 0 26 0 26 0 26 -1 25 -1 25 -2 25 -2 25 -2 24 -3 23 -3 22 -2 23 -3 20 -3 20 -2 20 -2 19 -2 19 -1 19 -1 17 -1 17 -1 18 0 16 0 0 1 15 1 15 2 15 3 13 2 13 3 13 3 13 4 12 4 12 5 11 5 11 5 11 6 10 6 10 6 10 7 9 7 9 7 8 7 8 8 7 7 7 8 7 8 6 8 6 8 6 8 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4926974,0,84,0,0,5.175824,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -25 9 -25 9 -25 8 -26 7 -25 7 -24 5 -24 5 -23 5 -23 4 -22 4 -23 4 -23 3 -21 3 -21 2 -20 2 -21 3 -19 2 -18 2 -18 2 -18 2 -17 2 -17 2 -16 2 -15 3 -16 3 -15 4 0 0 -14 4 -13 5 -13 5 -12 6 -12 5 -11 6 -11 6 -10 6 -10 6 -9 7 -9 7 -8 7 -8 7 -7 7 -8 7 -7 8 -7 8 -5 8 -5 8 -4 8 -5 8 -5 8 -4 8 -3 8 -4 8 -3 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4937688,0,84,0,0,5.186301,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 27 -10 30 -10 25 -19 27 -16 19 -17 25 -15 21 -14 23 -17 21 -10 19 -19 17 -17 24 -19 22 -12 20 -20 17 -15 15 -12 6 -15 9 -19 15 -8 13 -12 12 -14 15 -12 12 -11 12 -12 13 -10 13 0 0 -10 13 -9 12 -8 13 -7 11 -7 11 -6 12 -7 12 -6 11 -5 12 -4 11 -4 11 -4 11 -3 11 -2 11 -3 11 -2 11 -2 11 -1 10 -1 10 0 10 0 10 0 10 1 10 1 10 1 10 2 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-49,11,1,3,0,1,1,1,0,0,0,-93,1,8,1,4939698,0,84,0,0,5.190752,256,[84 -64 4 0 0 0 0 0 0 0 0 0 -18 -32 -16 -32 -15 -33 -14 -32 -13 -32 -12 -31 -11 -31 -10 -31 -9 -30 -9 -31 -9 -30 -8 -29 -8 -28 -7 -27 -7 -26 -7 -27 -6 -25 -6 -25 -6 -23 -6 -23 -6 -22 -6 -21 -6 -21 -7 -20 -7 -20 -7 -19 0 0 -7 -18 -8 -17 -8 -16 -8 -16 -8 -15 -9 -15 -9 -14 -9 -13 -10 -13 -10 -13 -10 -12 -10 -11 -11 -10 -11 -10 -11 -10 -11 -9 -11 -9 -11 -8 -11 -8 -12 -7 -12 -7 -12 -6 -12 -6 -11 -6 -13 -5 -11 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4946677,0,84,0,0,5.197026,384,[84 -64 4 0 0 0 0 0 0 0 0 0 26 -11 26 -11 25 -10 28 -9 25 -8 25 -7 24 -7 24 -7 24 -5 23 -4 24 -4 24 -4 22 -3 22 -3 21 -3 21 -4 20 -3 18 -3 18 -3 17 -3 17 -3 17 -3 16 -3 15 -3 16 -3 15 -5 0 0 14 -5 13 -5 13 -5 12 -6 12 -6 11 -7 11 -7 10 -7 10 -8 9 -8 9 -8 9 -7 8 -8 8 -9 8 -8 7 -9 7 -9 5 -9 5 -9 4 -9 5 -9 4 -9 4 -9 3 -10 4 -10 2 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4949649,0,84,0,0,5.202701,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -27 10 -26 9 -27 8 -28 7 -27 6 -26 6 -25 6 -25 5 -24 4 -24 4 -25 3 -24 3 -23 3 -23 2 -21 1 -22 3 -20 2 -20 1 -19 2 -19 2 -18 2 -18 2 -17 2 -17 2 -17 3 -16 4 0 0 -15 3 -14 4 -14 4 -13 5 -13 4 -13 5 -12 5 -11 5 -11 6 -10 6 -10 7 -9 7 -9 7 -8 7 -9 7 -8 8 -8 8 -6 8 -6 8 -5 8 -6 8 -6 8 -5 9 -5 9 -4 9 -3 8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4958154,0,84,0,0,5.207666,384,[84 -64 4 0 0 0 0 0 0 0 0 0 25 -14 24 -14 24 -13 26 -11 24 -11 23 -9 23 -9 22 -9 23 -8 22 -7 23 -7 23 -7 21 -6 21 -5 20 -5 21 -6 19 -5 18 -4 17 -4 17 -5 17 -5 17 -5 15 -4 15 -5 15 -5 14 -6 0 0 13 -6 12 -6 12 -6 11 -7 11 -6 10 -7 10 -7 9 -8 9 -8 8 -8 8 -8 8 -8 7 -8 7 -9 7 -8 6 -9 6 -9 5 -9 5 -9 4 -9 4 -10 4 -9 3 -9 3 -10 3 -10 2 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4965023,0,84,0,0,5.213608,384,[84 -64 4 0 0 0 0 0 0 0 0 0 21 17 20 17 20 17 19 19 19 19 16 18 16 17 16 17 15 18 14 17 14 18 14 18 13 18 13 17 12 16 13 16 11 14 11 14 10 14 11 13 10 13 11 13 9 12 10 11 10 12 10 10 0 0 10 9 10 9 10 8 10 7 9 7 10 6 11 6 10 5 10 4 10 4 10 3 10 4 10 3 10 2 10 2 10 1 10 1 9 0 10 0 9 -1 9 -1 10 -1 10 -1 9 -2 9 -2 8 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4967961,0,84,0,0,5.217873,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -21 -19 -21 -19 -20 -19 -20 -21 -18 -20 -17 -20 -16 -19 -16 -19 -15 -19 -14 -19 -14 -19 -14 -19 -13 -19 -13 -19 -12 -18 -13 -18 -12 -16 -11 -15 -11 -16 -11 -15 -11 -14 -11 -14 -10 -13 -11 -13 -11 -13 -11 -12 0 0 -11 -11 -11 -10 -11 -10 -11 -8 -10 -9 -11 -8 -11 -8 -11 -7 -11 -6 -11 -5 -11 -5 -11 -5 -11 -5 -11 -4 -10 -4 -11 -3 -11 -3 -10 -1 -10 -1 -10 0 -10 -1 -10 -1 -10 0 -10 1 -10 0 -9 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,30:AE:A4:8F:7B:0C,-53,11,1,3,1,1,1,1,0,0,0,-93,1,8,1,4975497,0,84,0,0,5.225075,384,[84 -64 4 0 0 0 0 0 0 0 0 0 22 -17 21 -16 21 -16 22 -15 22 -14 21 -13 21 -13 21 -12 21 -12 20 -10 21 -10 21 -10 20 -9 20 -8 18 -8 19 -9 17 -8 17 -8 16 -7 15 -8 15 -7 15 -7 14 -7 14 -7 14 -8 12 -8 0 0 12 -8 11 -9 10 -8 10 -9 9 -8 9 -9 9 -9 8 -9 7 -10 7 -9 6 -10 6 -9 6 -9 5 -10 5 -10 4 -10 4 -10 3 -10 3 -10 2 -10 2 -10 2 -10 2 -10 1 -10 1 -10 0 -9 0 0 0 0 0 0 0 0 0 0 ]
